id_venta,producto,precio,cantidad,fecha_venta,categoria
792,Cuadro Decorativo,69.94,5,2024-01-02,Decoración
811,Lámpara De Mesa,105.1,5,2024-01-02,Decoración
1156,Secadora,97.96,3,2024-01-02,Electrodomésticos
1372,Heladera,114.35,8,2024-01-02,Electrodomésticos
1546,Secadora,106.21,4,2024-01-02,Electrodomésticos
1697,Horno Eléctrico,35.35,9,2024-01-02,Electrodomésticos
1710,Plancha De Vapor,65.43,2,2024-01-02,Electrodomésticos
2959,Proyector,88.17,9,2024-01-02,Electrónica
318,Rincón De Plantas,79.86,11,2024-01-03,Decoración
419,Candelabro,66.11,8,2024-01-03,Decoración
1374,Aspiradora,95.9,5,2024-01-03,Electrodomésticos
1571,Freidora Eléctrica,111.18,1,2024-01-03,Electrodomésticos
1814,Aspiradora,70.91,2,2024-01-03,Electrodomésticos
2769,Proyector,43.62,11,2024-01-03,Electrónica
2794,Tablet,67.97,9,2024-01-03,Electrónica
2824,Tablet,74.09,5,2024-01-03,Electrónica
446,Cortinas,62.1,4,2024-01-04,Decoración
630,Adorno De Pared,71.99,9,2024-01-04,Decoración
794,Jarrón Decorativo,96.97,7,2024-01-04,Decoración
882,Cuadro Decorativo,101.92,9,2024-01-04,Decoración
969,Candelabro,90.7,12,2024-01-04,Decoración
1445,Lavadora,28.41,10,2024-01-04,Electrodomésticos
1971,Freidora Eléctrica,122.25,11,2024-01-04,Electrodomésticos
2209,Proyector,32.15,1,2024-01-04,Electrónica
256,Cortinas,86.82,8,2024-01-05,Decoración
606,Cortinas,106.66,11,2024-01-05,Decoración
704,Jarrón Decorativo,57.22,9,2024-01-05,Decoración
1362,Heladera,109.49,11,2024-01-05,Electrodomésticos
2155,Auriculares,84.8,10,2024-01-05,Electrónica
2947,Cámara Digital,107.78,3,2024-01-05,Electrónica
1495,Lavadora,38.99,6,2024-01-06,Electrodomésticos
1572,Cafetera,61.4,9,2024-01-06,Electrodomésticos
2180,Consola De Videojuegos,102.57,9,2024-01-06,Electrónica
2487,Cámara Digital,50.76,3,2024-01-06,Electrónica
2603,Smartphone,87.05,5,2024-01-06,Electrónica
2885,Auriculares,100.4,6,2024-01-06,Electrónica
17,Elementos De Cerámica,108.48,11,2024-01-07,Decoración
183,Espejo Decorativo,82.76,8,2024-01-07,Decoración
560,Adorno De Pared,57.62,6,2024-01-07,Decoración
632,Cuadro Decorativo,30.49,12,2024-01-07,Decoración
699,Candelabro,34.23,12,2024-01-07,Decoración
1150,Plancha De Vapor,33.63,10,2024-01-07,Electrodomésticos
1400,Plancha De Vapor,26.91,5,2024-01-07,Electrodomésticos
1496,Secadora,95.33,11,2024-01-07,Electrodomésticos
1524,Aspiradora,65.55,8,2024-01-07,Electrodomésticos
1550,Plancha De Vapor,51.51,7,2024-01-07,Electrodomésticos
2174,Auriculares,116.04,11,2024-01-07,Electrónica
2773,Smartphone,107.51,5,2024-01-07,Electrónica
2920,Consola De Videojuegos,29.49,2,2024-01-07,Electrónica
84,Jarrón Decorativo,37.05,4,2024-01-08,Decoración
349,Candelabro,57.65,6,2024-01-08,Decoración
687,Elementos De Cerámica,27.68,8,2024-01-08,Decoración
696,Cortinas,32.57,8,2024-01-08,Decoración
1734,Aspiradora,50.86,4,2024-01-08,Electrodomésticos
2173,Smartphone,54.19,12,2024-01-08,Electrónica
2283,Smartphone,70.07,11,2024-01-08,Electrónica
2501,Parlantes Bluetooth,87.78,1,2024-01-08,Electrónica
2918,Smartwatch,82.18,10,2024-01-08,Electrónica
386,Cortinas,85.71,8,2024-01-09,Decoración
599,Candelabro,47.22,5,2024-01-09,Decoración
633,Espejo Decorativo,60.39,2,2024-01-09,Decoración
714,Jarrón Decorativo,42.46,8,2024-01-09,Decoración
871,Lámpara De Mesa,79.64,11,2024-01-09,Decoración
1132,Cafetera,29.88,10,2024-01-09,Electrodomésticos
1443,Microondas,67.39,8,2024-01-09,Electrodomésticos
1584,Aspiradora,99.58,7,2024-01-09,Electrodomésticos
1617,Horno Eléctrico,68.53,8,2024-01-09,Electrodomésticos
1649,Batidora,39.26,11,2024-01-09,Electrodomésticos
2917,Cámara Digital,120.87,7,2024-01-09,Electrónica
315,Alfombra,122.07,9,2024-01-10,Decoración
553,Espejo Decorativo,96.29,9,2024-01-10,Decoración
817,Elementos De Cerámica,106.31,1,2024-01-10,Decoración
830,Adorno De Pared,67.23,10,2024-01-10,Decoración
854,Jarrón Decorativo,42.83,5,2024-01-10,Decoración
1090,Plancha De Vapor,66.15,8,2024-01-10,Electrodomésticos
1464,Aspiradora,36.38,5,2024-01-10,Electrodomésticos
1933,Microondas,46.05,6,2024-01-10,Electrodomésticos
308,Rincón De Plantas,31.7,11,2024-01-11,Decoración
718,Rincón De Plantas,29.88,8,2024-01-11,Decoración
804,Jarrón Decorativo,87.84,7,2024-01-11,Decoración
963,Espejo Decorativo,32.34,5,2024-01-11,Decoración
1167,Horno Eléctrico,119.7,6,2024-01-11,Electrodomésticos
1234,Aspiradora,36.89,7,2024-01-11,Electrodomésticos
1319,Batidora,79.98,12,2024-01-11,Electrodomésticos
1885,Lavadora,120.75,10,2024-01-11,Electrodomésticos
